"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11815","validFileUpload","All Test Suite","Mon Sep 09 16:12:49 IST 2024","passed","Mon Sep 09 16:13:01 IST 2024","com.qa.testcases.TestCasesDashboard","ChromeTest","com.qa.testcases.TestCasesDashboard","validFileUpload"
"","1098","checkBasicDetails","All Test Suite","Mon Sep 09 16:10:26 IST 2024","passed","Mon Sep 09 16:10:27 IST 2024","com.qa.testcases.TestCasesDashboard","HeadLessTest","com.qa.testcases.TestCasesDashboard","checkBasicDetails"
"","4","verifyScalingProcess","All Test Suite","Mon Sep 09 16:31:35 IST 2024","skipped","Mon Sep 09 16:31:35 IST 2024","com.qa.testcases.TestCasesScaling","FirefoxTest","com.qa.testcases.TestCasesScaling","verifyScalingProcess"
"","65838","invalidFileUpload","All Test Suite","Mon Sep 09 16:13:18 IST 2024","broken","Mon Sep 09 16:14:24 IST 2024","com.qa.testcases.TestCasesDashboard","ChromeTest","com.qa.testcases.TestCasesDashboard","invalidFileUpload"
"","14358","verifyScalingProcess","All Test Suite","Mon Sep 09 16:14:51 IST 2024","passed","Mon Sep 09 16:15:05 IST 2024","com.qa.testcases.TestCasesScaling","ChromeTest","com.qa.testcases.TestCasesScaling","verifyScalingProcess"
"","6272","validFileUpload","All Test Suite","Mon Sep 09 16:10:36 IST 2024","passed","Mon Sep 09 16:10:43 IST 2024","com.qa.testcases.TestCasesDashboard","HeadLessTest","com.qa.testcases.TestCasesDashboard","validFileUpload"
"","19775","uploadButton","All Test Suite","Mon Sep 09 16:17:57 IST 2024","passed","Mon Sep 09 16:18:17 IST 2024","com.qa.testcases.TestCasesScaling","EdgeTest","com.qa.testcases.TestCasesScaling","uploadButton"
"","62546","invalidFileUpload","All Test Suite","Mon Sep 09 16:10:49 IST 2024","broken","Mon Sep 09 16:11:51 IST 2024","com.qa.testcases.TestCasesDashboard","HeadLessTest","com.qa.testcases.TestCasesDashboard","invalidFileUpload"
"","29405","uploadButton","All Test Suite","Mon Sep 09 16:26:56 IST 2024","passed","Mon Sep 09 16:27:25 IST 2024","com.qa.testcases.TestCasesScaling","FirefoxTest","com.qa.testcases.TestCasesScaling","uploadButton"
"","81194","invalidFileUpload","All Test Suite","Mon Sep 09 16:24:27 IST 2024","broken","Mon Sep 09 16:25:48 IST 2024","com.qa.testcases.TestCasesDashboard","FirefoxTest","com.qa.testcases.TestCasesDashboard","invalidFileUpload"
"","82738","invalidFileUpload","All Test Suite","Mon Sep 09 16:16:20 IST 2024","broken","Mon Sep 09 16:17:43 IST 2024","com.qa.testcases.TestCasesDashboard","EdgeTest","com.qa.testcases.TestCasesDashboard","invalidFileUpload"
"","371","setup","All Test Suite","Mon Sep 09 16:31:26 IST 2024","broken","Mon Sep 09 16:31:27 IST 2024","com.qa.testcases.TestCasesScaling","FirefoxTest","com.qa.testcases.TestCasesScaling","setup"
"","10864","validFileUpload","All Test Suite","Mon Sep 09 16:15:52 IST 2024","passed","Mon Sep 09 16:16:03 IST 2024","com.qa.testcases.TestCasesDashboard","EdgeTest","com.qa.testcases.TestCasesDashboard","validFileUpload"
"","29529","verifyScalingProcess","All Test Suite","Mon Sep 09 16:18:27 IST 2024","failed","Mon Sep 09 16:18:57 IST 2024","com.qa.testcases.TestCasesScaling","EdgeTest","com.qa.testcases.TestCasesScaling","verifyScalingProcess"
"","8949","checkBasicDetails","All Test Suite","Mon Sep 09 16:20:25 IST 2024","passed","Mon Sep 09 16:20:34 IST 2024","com.qa.testcases.TestCasesDashboard","FirefoxTest","com.qa.testcases.TestCasesDashboard","checkBasicDetails"
"","49730","validFileUpload","All Test Suite","Mon Sep 09 16:22:58 IST 2024","passed","Mon Sep 09 16:23:47 IST 2024","com.qa.testcases.TestCasesDashboard","FirefoxTest","com.qa.testcases.TestCasesDashboard","validFileUpload"
"","15998","uploadButton","All Test Suite","Mon Sep 09 16:14:27 IST 2024","passed","Mon Sep 09 16:14:43 IST 2024","com.qa.testcases.TestCasesScaling","ChromeTest","com.qa.testcases.TestCasesScaling","uploadButton"
"","2","teardown","All Test Suite","Mon Sep 09 16:32:07 IST 2024","broken","Mon Sep 09 16:32:07 IST 2024","com.qa.testcases.TestCasesDashboard","FirefoxTest","com.qa.testcases.TestCasesDashboard","teardown"
"","1139","checkBasicDetails","All Test Suite","Mon Sep 09 16:12:39 IST 2024","passed","Mon Sep 09 16:12:40 IST 2024","com.qa.testcases.TestCasesDashboard","ChromeTest","com.qa.testcases.TestCasesDashboard","checkBasicDetails"
"","11552","verifyScalingProcess","All Test Suite","Mon Sep 09 16:12:10 IST 2024","passed","Mon Sep 09 16:12:22 IST 2024","com.qa.testcases.TestCasesScaling","HeadLessTest","com.qa.testcases.TestCasesScaling","verifyScalingProcess"
"","10589","uploadButton","All Test Suite","Mon Sep 09 16:11:53 IST 2024","passed","Mon Sep 09 16:12:04 IST 2024","com.qa.testcases.TestCasesScaling","HeadLessTest","com.qa.testcases.TestCasesScaling","uploadButton"
"","6261","checkBasicDetails","All Test Suite","Mon Sep 09 16:15:26 IST 2024","passed","Mon Sep 09 16:15:32 IST 2024","com.qa.testcases.TestCasesDashboard","EdgeTest","com.qa.testcases.TestCasesDashboard","checkBasicDetails"
